12:04:04.008 [main] INFO  c.b.launchers.LaunchMavenCommand - Executing maven archetype command - browserstack-sdk-archetype-integrate
12:13:41.095 [Worker-32: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
12:13:41.100 [Worker-32: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
12:13:41.102 [Worker-32: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.10}
12:34:15.601 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
12:34:15.629 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
12:34:15.633 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/BrowserStackUIMobileTesting
12:34:15.633 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
12:34:15.633 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
12:34:15.642 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/BrowserStackUIMobileTesting
12:39:52.342 [Worker-40: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
12:39:52.350 [Worker-40: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
12:39:52.356 [Worker-40: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
12:39:52.357 [Worker-40: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.10}
12:41:38.684 [Worker-42: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
12:41:38.686 [Worker-42: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
12:41:38.688 [Worker-42: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
12:41:38.690 [Worker-42: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.10}
12:43:23.232 [Worker-39: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
12:43:23.235 [Worker-39: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
12:43:23.239 [Worker-39: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
12:43:23.240 [Worker-39: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.10}
12:44:02.023 [Worker-36: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
12:44:02.030 [Worker-36: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
12:44:02.033 [Worker-36: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
12:44:02.034 [Worker-36: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.10}
